# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
5.734971 6.130619000000006 0.26250 1.49277e-01 1.25796e-02 5.18994e-03 3.48585e-03 2.54777e-03 2.11121e-03 1.75090e-03
5.745434 6.137041999999996 0.26250 1.62254e+00 1.38018e-01 5.65074e-02 3.79344e-02 2.77241e-02 2.29735e-02 1.90526e-02
5.431759 5.1423359999999985 0.26720 1.75788e-01 1.51604e-02 6.27353e-03 4.21312e-03 3.07926e-03 2.55162e-03 2.11615e-03
5.375723 5.166270999999997 0.26720 9.01377e-01 7.75466e-02 3.21311e-02 2.15819e-02 1.57740e-02 1.30712e-02 1.08404e-02
5.392946 5.163246999999999 0.26720 1.15865e-01 1.06267e-02 4.14369e-03 2.74303e-03 1.99603e-03 1.65231e-03 1.36969e-03
5.3824 5.161565000000002 0.26720 1.18597e-01 1.02312e-02 4.23567e-03 2.84492e-03 2.07933e-03 1.72303e-03 1.42897e-03
5.382583 5.162389000000004 0.26720 5.54854e-01 8.21698e-02 1.27097e-01 1.62524e-01 1.82397e-01 1.86255e-01 1.82245e-01
7.080346 6.414158 0.26890 4.53697e-01 3.90953e-02 1.62182e-02 1.08937e-02 7.96212e-03 6.59782e-03 5.47179e-03
7.339703000000001 6.140586000000002 0.26930 4.18818e-01 3.56702e-02 1.48057e-02 9.94522e-03 7.26890e-03 6.02338e-03 4.99539e-03
7.196161999999999 6.308922000000002 0.27100 9.40439e-02 7.98687e-03 3.30150e-03 2.21724e-03 1.62053e-03 1.34284e-03 1.11367e-03
6.869699 6.186128999999996 0.27440 1.47472e-01 1.27462e-02 5.27460e-03 3.54122e-03 2.58799e-03 2.14451e-03 1.77850e-03
7.093044 6.904556000000003 0.27850 8.35782e-02 7.38033e-03 2.95485e-03 1.97840e-03 1.44529e-03 1.19756e-03 9.93159e-04
6.329676 4.907675999999996 0.29020 1.18435e-01 1.01682e-02 4.21071e-03 2.82821e-03 2.06711e-03 1.71291e-03 1.42057e-03
6.329369 4.906070999999998 0.29020 6.25694e-01 5.34926e-02 2.22099e-02 1.49187e-02 1.09040e-02 9.03560e-03 7.49353e-03
6.047033 4.6014630000000025 0.29140 2.65676e-01 2.46293e-02 1.01050e-02 6.62935e-03 4.75730e-03 3.90733e-03 3.21871e-03
6.043558 4.627709999999995 0.29140 9.39502e-01 8.09659e-02 3.35744e-02 2.25515e-02 1.64827e-02 1.36584e-02 1.13274e-02
6.057975 4.596328000000003 0.29140 8.60908e-01 6.58979e-02 2.68063e-02 1.79968e-02 1.31531e-02 1.08993e-02 9.03913e-03
5.382071 5.005006000000005 0.29320 1.18320e-01 9.77878e-03 4.01153e-03 2.69415e-03 1.96912e-03 1.63171e-03 1.35324e-03
5.380474 5.0069010000000045 0.29320 8.32630e-02 7.12677e-03 2.95760e-03 1.98666e-03 1.45204e-03 1.20323e-03 9.97880e-04
5.371613 4.951476999999998 0.29320 4.96089e-01 4.30237e-02 1.77632e-02 1.19167e-02 8.70726e-03 7.21491e-03 5.98347e-03
4.978346 6.694900000000002 0.29670 1.72660e-01 1.52272e-02 6.24481e-03 4.16363e-03 3.03247e-03 2.50999e-03 2.08030e-03
4.977981 6.696853000000002 0.29670 1.99181e-01 1.70634e-02 7.08400e-03 4.75842e-03 3.47790e-03 2.88197e-03 2.39011e-03
6.588087 5.0475629999999985 0.29780 7.84460e-01 6.72384e-02 2.78832e-02 1.87290e-02 1.36889e-02 1.13433e-02 9.40738e-03
6.615964 5.013066999999996 0.29780 6.19408e-01 5.34268e-02 2.20316e-02 1.47960e-02 1.08141e-02 8.96112e-03 7.43176e-03
6.736682 5.009363999999998 0.29880 7.75814e-02 6.54903e-03 2.71723e-03 1.82520e-03 1.33402e-03 1.10544e-03 9.16779e-04
6.787471 6.674291 0.29940 5.46352e-01 5.59028e-02 2.13346e-02 1.35319e-02 9.63485e-03 7.92142e-03 6.54331e-03
6.788303 6.675534000000004 0.29940 3.74576e-01 4.78149e-02 2.38137e-02 1.49158e-02 9.64761e-03 7.32423e-03 5.57496e-03
5.803829 6.869954000000002 0.29930 4.33258e-01 3.70719e-02 1.53924e-02 1.03393e-02 7.55693e-03 6.26206e-03 5.19334e-03
5.791088 6.865116999999997 0.29930 2.27608e-01 1.95903e-02 8.13449e-03 5.46406e-03 3.99364e-03 3.30933e-03 2.74454e-03
7.00806 5.296744000000002 0.30200 1.32387e+00 1.27446e-01 4.25695e-02 2.80423e-02 2.04355e-02 1.69275e-02 1.40370e-02
6.986007 5.319087000000003 0.30200 3.11455e-01 9.84941e-02 6.09834e-02 3.55124e-02 1.96662e-02 1.30045e-02 8.39150e-03
7.446255 5.562969999999998 0.30420 1.82522e-01 1.74926e-02 8.69758e-03 6.07297e-03 4.34674e-03 3.47958e-03 2.75500e-03
7.449093 5.538528999999997 0.30420 4.29852e-01 3.62013e-02 1.50082e-02 1.00812e-02 7.36827e-03 6.10572e-03 5.06368e-03
7.261036 5.218517999999999 0.30400 6.15222e-01 5.25356e-02 2.16210e-02 1.45152e-02 1.06082e-02 8.79036e-03 7.29012e-03
7.246040000000001 5.193174000000001 0.30400 1.05172e-01 9.02574e-03 3.74759e-03 2.51731e-03 1.83989e-03 1.52462e-03 1.26442e-03
6.062797 6.766574000000001 0.30320 1.05014e-01 1.00650e-02 3.81457e-03 2.50626e-03 1.82119e-03 1.50741e-03 1.24961e-03
6.556379 6.2417699999999945 0.30790 8.41790e-02 7.11761e-03 2.94819e-03 1.98031e-03 1.44740e-03 1.19939e-03 9.94691e-04
6.375254 6.0178599999999935 0.30540 2.30989e-01 2.00739e-02 8.24845e-03 5.53467e-03 4.04456e-03 3.35145e-03 2.77946e-03
6.376785 6.024841000000001 0.30540 2.49832e-01 2.15003e-02 8.92490e-03 5.99495e-03 4.38167e-03 3.63087e-03 3.01120e-03
7.019614000000001 7.327063000000004 0.30880 1.20815e-01 1.42406e-02 6.57829e-03 4.19986e-03 2.82736e-03 2.20877e-03 1.72663e-03
7.01103 7.317571000000004 0.30880 7.11418e-02 6.15884e-03 2.52617e-03 1.69459e-03 1.23823e-03 1.02601e-03 8.50890e-04
6.400825000000001 6.535760999999995 0.30930 6.87997e-02 6.31671e-03 2.09879e-03 1.40204e-03 1.02442e-03 8.48872e-04 7.03996e-04
7.221111 7.414724 0.31290 3.49679e-01 2.88123e-02 1.19429e-02 8.02217e-03 5.86335e-03 4.85867e-03 4.02946e-03
7.004346 7.248854999999996 0.31290 8.36290e-02 7.27466e-03 2.99180e-03 2.00666e-03 1.46621e-03 1.21492e-03 1.00756e-03
6.134776 6.312609 0.31070 2.00254e-01 1.56718e-02 6.50091e-03 4.36675e-03 3.19163e-03 2.64475e-03 2.19338e-03
