# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
25.291033 4.8795630000000045 0.20540 1.44736e+00 1.22240e-01 5.07181e-02 3.40680e-02 2.49001e-02 2.06335e-02 1.71120e-02
27.702187000000002 6.836782999999997 0.20430 2.06696e-01 1.90392e-02 7.18295e-03 4.78328e-03 3.49157e-03 2.89283e-03 2.39902e-03
26.340958 5.036294999999998 0.20750 1.42906e-01 1.22825e-02 5.09240e-03 3.42056e-03 2.50006e-03 2.07168e-03 1.71811e-03
24.752411 5.647645999999997 0.20790 7.06644e-01 6.27502e-02 2.19163e-02 1.44091e-02 1.04815e-02 8.67765e-03 7.19420e-03
24.291832 5.909773999999998 0.21050 2.48579e-01 2.08795e-02 8.66864e-03 5.82285e-03 4.25588e-03 3.52664e-03 2.92476e-03
24.45886 5.892423999999995 0.21000 2.97793e-01 2.55730e-02 1.05953e-02 7.11586e-03 5.20078e-03 4.30960e-03 3.57409e-03
24.447404 5.919535999999998 0.21000 7.75513e-01 6.67427e-02 2.76862e-02 1.85963e-02 1.35918e-02 1.12629e-02 9.34067e-03
24.328243 7.709681999999994 0.21330 2.23483e-01 1.92587e-02 7.98124e-03 5.36033e-03 3.91774e-03 3.24643e-03 2.69237e-03
25.945201 7.759776000000006 0.21410 3.73464e-01 3.20736e-02 1.33025e-02 8.93517e-03 6.53063e-03 5.41161e-03 4.48803e-03
25.943973 7.770030999999996 0.21410 1.35280e+00 1.06818e-01 4.42072e-02 2.96943e-02 2.17034e-02 1.79845e-02 1.49152e-02
25.951356 7.764962000000003 0.21410 2.90466e-01 2.51507e-02 1.03286e-02 6.92628e-03 5.06019e-03 4.19274e-03 3.47704e-03
24.222208 6.845858000000002 0.21610 4.66616e-01 8.58797e-02 6.29174e-02 4.55433e-02 3.11381e-02 2.34217e-02 1.69461e-02
24.812026 7.860334999999996 0.21870 3.37535e-01 6.03322e-02 2.46543e-02 1.29653e-02 7.60044e-03 5.65116e-03 4.33775e-03
24.786165 7.853773999999994 0.21870 1.61248e+00 1.36909e-01 5.64155e-02 3.78793e-02 2.76840e-02 2.29401e-02 1.90250e-02
24.002683 8.008319999999996 0.21870 3.39686e-01 4.29551e-02 1.81752e-02 1.05960e-02 6.84338e-03 5.34802e-03 4.25693e-03
24.547241 7.843837000000002 0.21820 1.70947e+00 1.46341e-01 6.07398e-02 4.07997e-02 2.98202e-02 2.47105e-02 2.04933e-02
24.404013 4.396067000000001 0.22130 8.57641e-01 7.42784e-02 3.05739e-02 2.05230e-02 1.49987e-02 1.24285e-02 1.03074e-02
24.429262 4.406055999999996 0.22130 1.64562e-01 1.42371e-02 5.86840e-03 3.94109e-03 2.88048e-03 2.38691e-03 1.97954e-03
24.445307 4.420364999999998 0.22130 3.05916e-01 2.30334e-02 7.34627e-03 4.90454e-03 3.58336e-03 2.96929e-03 2.46252e-03
27.634923000000004 7.7351559999999955 0.22000 1.35414e-01 1.14586e-02 4.71586e-03 3.16711e-03 2.31479e-03 1.91815e-03 1.59079e-03
24.823159 6.5960869999999945 0.22150 3.77473e-01 3.12173e-02 1.29565e-02 8.70307e-03 6.36102e-03 5.27106e-03 4.37147e-03
24.473626 6.400514000000006 0.22150 3.17804e-01 2.71130e-02 1.09898e-02 7.37669e-03 5.39127e-03 4.46746e-03 3.70501e-03
