,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
2528,4.898915,5.576633999999995,1.281,0.0818242,0.00675362,0.00275308,0.00184729,0.00134994,0.0011186,0.000927683
2529,5.666372,6.206962000000005,1.282,0.0945174,0.0104011,0.00374725,0.00234013,0.00165772,0.00136107,0.0011235
2530,5.164862,4.913206000000005,1.284,0.115355,0.0119085,0.00482538,0.00303519,0.00211647,0.00171878,0.00140626
2531,5.160109,4.9084739999999965,1.284,0.0538048,0.00452355,0.00187828,0.00126167,0.000922143,0.000764135,0.000633723
2532,5.173403,4.924924000000003,1.284,0.0669352,0.00584067,0.00236797,0.00158834,0.00116071,0.000961804,0.000797653
2535,7.0447370000000005,6.544094999999997,1.293,0.191196,0.0224573,0.0110432,0.00707041,0.00469574,0.00362478,0.00280003
2537,6.404838000000001,6.401385000000002,1.29,0.742788,0.0639336,0.0265471,0.017832,0.0130333,0.0108001,0.00895686
2538,4.864044,6.378862000000002,1.294,0.169319,0.0143864,0.00597366,0.00401259,0.00293278,0.00243025,0.00201549
2539,4.858598,6.3745619999999965,1.294,0.0713149,0.00616024,0.00250027,0.00167848,0.00122674,0.00101654,0.000843048
2544,6.274532,6.119347000000001,1.292,0.0671016,0.00512978,0.00212808,0.00142946,0.00104479,0.000865762,0.000718006
2545,5.318158000000001,5.697362999999995,1.301,0.217018,0.0186695,0.00767465,0.00515408,0.00376703,0.00312155,0.00258881
2546,4.811847,6.329895999999996,1.297,0.137924,0.0118571,0.00492353,0.00330721,0.00241722,0.00200303,0.00166118
2547,4.819962000000001,6.335114000000006,1.297,3.40463,0.284469,0.118123,0.0793452,0.0579929,0.0480558,0.0398543
2548,6.867969,6.266058000000003,1.304,0.0708592,0.00603629,0.00248761,0.00167047,0.00122089,0.00101169,0.000839028
2549,6.864651,6.268456999999997,1.304,0.201353,0.0172482,0.00716182,0.0048107,0.00351611,0.00291362,0.00241637
2550,6.864147,6.2633810000000025,1.304,0.0732883,0.0062839,0.00260924,0.00175266,0.00128101,0.00106151,0.000880346
2562,6.595866,5.172007999999997,1.321,0.0572612,0.00485805,0.00201723,0.00135501,0.000990365,0.000820666,0.000680606
2563,6.597907,5.174066999999996,1.321,0.241075,0.0205783,0.00853139,0.00573055,0.00418842,0.00347073,0.0028784
2564,6.526624,5.718158999999998,1.318,0.114451,0.00973918,0.00402007,0.00270001,0.0019734,0.00163526,0.00135618
2565,6.542835,5.728357000000004,1.318,0.208979,0.0181118,0.00747224,0.005015,0.00366483,0.00303678,0.00251849
2566,5.995153000000001,5.245669999999995,1.321,0.123033,0.0105851,0.00439534,0.00295241,0.0021579,0.00178814,0.00148297
2567,6.001862,5.248469000000006,1.321,0.421198,0.0385202,0.0158427,0.0104355,0.00751648,0.00618623,0.00510479
2568,6.52672,5.440118000000001,1.318,0.114222,0.00979722,0.00406823,0.00273269,0.0019973,0.00165507,0.0013726
2569,6.528451,5.4311900000000035,1.318,0.0874116,0.00814238,0.00325532,0.00213342,0.00154049,0.00127135,0.00105195
